76.19,Majority-class,17.06,SimpleNets-MLP,21.63,Majority-class,71.84,SMH-RandForest
76.19,MT-baseline,17.46,SMH-RandForest,21.63,DeepBow,71.64,SMH-IBk
76.19,DeepIndiBow,18.25,Majority-class,21.63,DeepIndiBow,69.96,SMH-RandForest-b
76.19,DeepBow,18.25,DeepBow,21.63,MT-baseline,69.09,BLEU
75.40,SMH-RandForest-b,18.25,DeepIndiBow,21.82,SimpleNets-RNN2,68.82,SimpleNets-MLP
75.40,SMH-RandForest,18.25,MT-baseline,21.98,SimpleNets-RNN3,68.36,TER
75.40,SimpleNets-RNN2,18.25,SMH-RandForest-b,22.60,SMH-RandForest-b,67.53,MS-RandForest
74.60,SimpleNets-RNN3,18.65,SimpleNets-RNN2,22.89,SMH-RandForest,67.50,IIT-LM
74.60,SimpleNets-MLP,19.05,SimpleNets-RNN3,23.20,SimpleNets-MLP,66.79,WER
72.22,IIT-LM,19.44,SMH-IBk,24.77,MS-RandForest,66.75,MS-RandForest-b
72.22,MS-RandForest,19.84,MS-RandForest,25.10,SMH-IBk,65.89,MT-baseline
70.63,SMH-IBk,21.43,BLEU,25.78,IIT-LM,65.89,DeepIndiBow
69.84,MS-RandForest-b,21.43,TER,25.89,MS-RandForest-b,65.89,DeepBow
69.84,BLEU,21.43,IIT-LM,26.61,BLEU,65.89,Majority-class
68.25,TER,21.83,MS-RandForest-b,27.76,TER,65.72,METEOR
65.87,WER,23.81,WER,30.03,WER,65.50,SimpleNets-RNN2
63.49,METEOR,24.21,METEOR,32.38,MS-IBk,65.11,SimpleNets-RNN3
60.32,MS-IBk,27.38,CLaC-RF-Perp,33.45,METEOR,64.39,CLaC-RF-Perp
58.73,CLaC-RF-Perp,28.17,MS-IBk,34.66,CLaC-RF-Perp,62.00,MS-IBk
41.27,UoW,30.16,UoW,46.03,UoW,46.32,UoW
