0.482,OSVCML1,0.588,IIT-Meteor,0.382,OSVCML1,0.343,OSVCML2
0.384,METEOR,0.585,OSVCML,0.376,OSVCML2,0.334,OSVCML
0.344,BLEU,0.573,OSVCML2,0.339,OSVCML,0.232,SimpleNets-RNN2
0.340,OSVCML,0.533,BLEU,0.320,SimpleNets-MLP,0.230,OSVCML1
0.323,TER,0.527,METEOR,0.307,SimpleNets-RNN3,0.205,UoLGP-emb
0.308,SimpleNets-MLP,0.513,TER,0.240,SimpleNets-RNN2,0.198,SimpleNets-MLP
0.308,WER,0.495,WER,0.123,UoLGP-combo,0.196,METEOR
0.256,UoLGP-emb,0.482,OSVCML1,0.120,UoLGP-emb,0.189,UoLGP-combo
0.256,UoLGP-combo,0.465,SimpleNets-MLP,0.086,UoLGP-quest,0.144,UoLGP-quest
0.208,UoLGP-quest,0.285,UoLGP-quest,0.052,IIT-S,0.130,TER
0.064,SimpleNets-RNN3,0.262,SimpleNets-RNN3,-0.169,METEOR,0.112,SimpleNets-RNN3
0.056,SimpleNets-RNN2,0.262,SimpleNets-RNN2,-0.242,TER,0.111,WER
,,0.250,UoLGP-combo,-0.260,WER,0.107,BLEU
,,0.188,UoLGP-emb,-0.267,BLEU,,
